epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1127,0.97326,3.8809,1.1699,0.00398,0.25,0.10316,0.08224,0.9379,3.87088,0.9724,0.000384615,0.000384615,0.000384615
2,38.1073,0.99109,3.57559,1.1279,0.0042,0.25,0.14952,0.12081,0.96532,3.82157,0.99012,0.000642628,0.000642628,0.000642628
3,758.186,1.00609,3.36761,1.16274,0.00438,0.25,0.19764,0.15403,1.05892,3.81467,1.07022,0.000735641,0.000735641,0.000735641
4,769.877,1.03626,3.4426,1.12986,0.00424,0.2381,0.19818,0.15929,1.05168,3.78478,1.07009,0.0005075,0.0005075,0.0005075
5,780.378,1.0084,3.29725,1.13741,0.00462,0.25,0.20113,0.17461,1.04043,3.6576,1.04976,0.00026,0.00026,0.00026
